year,month,day,births,gender
-1.491862329,-1.599039149,-1.097252912,-0.200209588,F
-1.491862329,-1.599039149,-1.097252912,-0.186409985,M
-1.491862329,-1.599039149,-1.031822988,-0.185919644,F
-1.491862329,-1.599039149,-1.031822988,-0.182627353,M
-1.491862329,-1.599039149,-0.966393065,-0.182627353,F
-1.491862329,-1.599039149,-0.966393065,-0.167006484,M
-1.491862329,-1.599039149,-0.900963142,-0.186409985,F
-1.491862329,-1.599039149,-0.900963142,-0.183608036,M
-1.491862329,-1.599039149,-0.835533218,-0.19509603,F
-1.491862329,-1.599039149,-0.835533218,-0.194885883,M
-1.491862329,-1.599039149,-0.770103295,-0.176953405,F
-1.491862329,-1.599039149,-0.770103295,-0.172049993,M
-1.491862329,-1.599039149,-0.704673371,-0.179194965,F
-1.491862329,-1.599039149,-0.704673371,-0.163574095,M
-1.491862329,-1.599039149,-0.639243448,-0.173801212,F
-1.491862329,-1.599039149,-0.639243448,-0.169107946,M
-1.491862329,-1.599039149,-0.573813524,-0.181086281,F
-1.491862329,-1.599039149,-0.573813524,-0.172330188,M
-1.491862329,-1.599039149,-0.508383601,-0.171979945,F
-1.491862329,-1.599039149,-0.508383601,-0.160141707,M
-1.491862329,-1.599039149,-0.442953677,-0.181506574,F
-1.491862329,-1.599039149,-0.442953677,-0.180876135,M
-1.491862329,-1.599039149,-0.377523754,-0.197407638,F
-1.491862329,-1.599039149,-0.377523754,-0.190472813,M
-1.491862329,-1.599039149,-0.31209383,-0.175272235,F
-1.491862329,-1.599039149,-0.31209383,-0.164134485,M
-1.491862329,-1.599039149,-0.246663907,-0.164344632,F
-1.491862329,-1.599039149,-0.246663907,-0.156429124,M
-1.491862329,-1.599039149,-0.181233983,-0.173871261,F
-1.491862329,-1.599039149,-0.181233983,-0.163433998,M
-1.491862329,-1.599039149,-0.11580406,-0.174151456,F
-1.491862329,-1.599039149,-0.11580406,-0.171279457,M
-1.491862329,-1.599039149,-0.050374136,-0.168757702,F
-1.491862329,-1.599039149,-0.050374136,-0.165745606,M
-1.491862329,-1.599039149,0.015055787,-0.17835438,F
-1.491862329,-1.599039149,0.015055787,-0.179335063,M
-1.491862329,-1.599039149,0.080485711,-0.195866566,F
-1.491862329,-1.599039149,0.080485711,-0.185989693,M
-1.491862329,-1.599039149,0.145915634,-0.170859165,F
-1.491862329,-1.599039149,0.145915634,-0.16945819,M
-1.491862329,-1.599039149,0.211345558,-0.165325314,F
-1.491862329,-1.599039149,0.211345558,-0.151665809,M
-1.491862329,-1.599039149,0.276775481,-0.173941309,F
-1.491862329,-1.599039149,0.276775481,-0.163714193,M
-1.491862329,-1.599039149,0.342205405,-0.174011358,F
-1.491862329,-1.599039149,0.342205405,-0.178704624,M
-1.491862329,-1.599039149,0.407635328,-0.175482382,F
-1.491862329,-1.599039149,0.407635328,-0.165185217,M
-1.491862329,-1.599039149,0.473065251,-0.189632228,F
-1.491862329,-1.599039149,0.473065251,-0.178214283,M
-1.491862329,-1.599039149,0.538495175,-0.193765103,F
-1.491862329,-1.599039149,0.538495175,-0.189982471,M
-1.491862329,-1.599039149,0.603925098,-0.171559652,F
-1.491862329,-1.599039149,0.603925098,-0.165185217,M
-1.491862329,-1.599039149,0.669355022,-0.17169975,F
-1.491862329,-1.599039149,0.669355022,-0.160772146,M
-1.491862329,-1.599039149,0.734784945,-0.184308523,F
-1.491862329,-1.599039149,0.734784945,-0.170999262,M
-1.491862329,-1.599039149,0.800214869,-0.178424429,F
-1.491862329,-1.599039149,0.800214869,-0.166586191,M
-1.491862329,-1.599039149,0.865644792,-0.174501699,F
-1.491862329,-1.599039149,0.865644792,-0.169878482,M
-1.491862329,-1.599039149,5.314879589,-0.34100756,F
-1.491862329,-1.599039149,5.314879589,-0.340587268,M
-1.491862329,-1.309143845,-1.097252912,-0.188021107,F
-1.491862329,-1.309143845,-1.097252912,-0.176042772,M
-1.491862329,-1.309143845,-1.031822988,-0.190122569,F
-1.491862329,-1.309143845,-1.031822988,-0.185009011,M
-1.491862329,-1.309143845,-0.966393065,-0.171069311,F
-1.491862329,-1.309143845,-0.966393065,-0.162943657,M
-1.491862329,-1.309143845,-0.900963142,-0.173941309,F
-1.491862329,-1.309143845,-0.900963142,-0.159791463,M
-1.491862329,-1.309143845,-0.835533218,-0.178214283,F
-1.491862329,-1.309143845,-0.835533218,-0.166726289,M
-1.491862329,-1.309143845,-0.770103295,-0.175202187,F
-1.491862329,-1.309143845,-0.770103295,-0.167917117,M
-1.491862329,-1.309143845,-0.704673371,-0.1688978,F
-1.491862329,-1.309143845,-0.704673371,-0.161122389,M
-1.491862329,-1.309143845,-0.639243448,-0.179895452,F
-1.491862329,-1.309143845,-0.639243448,-0.179545209,M
-1.491862329,-1.309143845,-0.573813524,-0.192994567,F
-1.491862329,-1.309143845,-0.573813524,-0.186339937,M
-1.491862329,-1.309143845,-0.508383601,-0.168267361,F
-1.491862329,-1.309143845,-0.508383601,-0.166936435,M
-1.491862329,-1.309143845,-0.442953677,-0.173941309,F
-1.491862329,-1.309143845,-0.442953677,-0.164694875,M
-1.491862329,-1.309143845,-0.377523754,-0.174501699,F
-1.491862329,-1.309143845,-0.377523754,-0.158810781,M
-1.491862329,-1.309143845,-0.31209383,-0.172049993,F
-1.491862329,-1.309143845,-0.31209383,-0.175342284,M
-1.491862329,-1.309143845,-0.246663907,-0.163574095,F
-1.491862329,-1.309143845,-0.246663907,-0.157619952,M
-1.491862329,-1.309143845,-0.181233983,-0.180876135,F
-1.491862329,-1.309143845,-0.181233983,-0.176883357,M
-1.491862329,-1.309143845,-0.11580406,-0.197687833,F
-1.491862329,-1.309143845,-0.11580406,-0.18725057,M
-1.491862329,-1.309143845,-0.050374136,-0.174921992,F
-1.491862329,-1.309143845,-0.050374136,-0.164905022,M
-1.491862329,-1.309143845,0.015055787,-0.168127264,F
-1.491862329,-1.309143845,0.015055787,-0.159301122,M
-1.491862329,-1.309143845,0.080485711,-0.174221504,F
-1.491862329,-1.309143845,0.080485711,-0.165815655,M
-1.491862329,-1.309143845,0.145915634,-0.169598287,F
-1.491862329,-1.309143845,0.145915634,-0.164624827,M
-1.491862329,-1.309143845,0.211345558,-0.1688978,F
-1.491862329,-1.309143845,0.211345558,-0.167636923,M
-1.491862329,-1.309143845,0.276775481,-0.184868913,F
-1.491862329,-1.309143845,0.276775481,-0.178424429,M
-1.491862329,-1.309143845,0.342205405,-0.191383446,F
-1.491862329,-1.309143845,0.342205405,-0.187600814,M
-1.491862329,-1.309143845,0.407635328,-0.173871261,F
-1.491862329,-1.309143845,0.407635328,-0.160912243,M
-1.491862329,-1.309143845,0.473065251,-0.159931561,F
-1.491862329,-1.309143845,0.473065251,-0.15383732,M
-1.491862329,-1.309143845,0.538495175,-0.172470286,F
-1.491862329,-1.309143845,0.538495175,-0.15944122,M
-1.491862329,-1.309143845,0.603925098,-0.181226379,F
-1.491862329,-1.309143845,0.603925098,-0.165745606,M
-1.491862329,-1.309143845,0.669355022,-0.174081407,F
-1.491862329,-1.309143845,0.669355022,-0.168057215,M
-1.491862329,-1.309143845,0.734784945,-0.340166975,F
-1.491862329,-1.309143845,0.734784945,-0.341357804,M
-1.491862329,-1.309143845,0.800214869,-0.341077609,F
-1.491862329,-1.309143845,0.800214869,-0.340937511,M
-1.491862329,-1.309143845,0.865644792,-0.341077609,F
-1.491862329,-1.309143845,0.865644792,-0.341217706,M
-1.491862329,-1.309143845,5.314879589,-0.34044717,F
-1.491862329,-1.309143845,5.314879589,-0.340237024,M
-1.491862329,-1.019248542,-1.097252912,-0.187740912,F
-1.491862329,-1.019248542,-1.097252912,-0.174361602,M
-1.491862329,-1.019248542,-1.031822988,-0.194675737,F
-1.491862329,-1.019248542,-1.031822988,-0.188651545,M
-1.491862329,-1.019248542,-0.966393065,-0.171209408,F
-1.491862329,-1.019248542,-0.966393065,-0.16000161,M
-1.491862329,-1.019248542,-0.900963142,-0.167006484,F
-1.491862329,-1.019248542,-0.900963142,-0.157339757,M
-1.491862329,-1.019248542,-0.835533218,-0.168267361,F
-1.491862329,-1.019248542,-0.835533218,-0.163714193,M
-1.491862329,-1.019248542,-0.770103295,-0.179405111,F
-1.491862329,-1.019248542,-0.770103295,-0.164554778,M
-1.491862329,-1.019248542,-0.704673371,-0.178774673,F
-1.491862329,-1.019248542,-0.704673371,-0.15663927,M
-1.491862329,-1.019248542,-0.639243448,-0.185639449,F
-1.491862329,-1.019248542,-0.639243448,-0.171279457,M
-1.491862329,-1.019248542,-0.573813524,-0.196707151,F
-1.491862329,-1.019248542,-0.573813524,-0.193134665,M
-1.491862329,-1.019248542,-0.508383601,-0.173240822,F
-1.491862329,-1.019248542,-0.508383601,-0.164134485,M
-1.491862329,-1.019248542,-0.442953677,-0.163433998,F
-1.491862329,-1.019248542,-0.442953677,-0.163574095,M
-1.491862329,-1.019248542,-0.377523754,-0.173801212,F
-1.491862329,-1.019248542,-0.377523754,-0.167636923,M
-1.491862329,-1.019248542,-0.31209383,-0.176953405,F
-1.491862329,-1.019248542,-0.31209383,-0.169248044,M
-1.491862329,-1.019248542,-0.246663907,-0.169037897,F
-1.491862329,-1.019248542,-0.246663907,-0.163363949,M
-1.491862329,-1.019248542,-0.181233983,-0.191313397,F
-1.491862329,-1.019248542,-0.181233983,-0.182977597,M
-1.491862329,-1.019248542,-0.11580406,-0.197968028,F
-1.491862329,-1.019248542,-0.11580406,-0.193905201,M
-1.491862329,-1.019248542,-0.050374136,-0.174221504,F
-1.491862329,-1.019248542,-0.050374136,-0.154888051,M
-1.491862329,-1.019248542,0.015055787,-0.169948531,F
-1.491862329,-1.019248542,0.015055787,-0.15888083,M
-1.491862329,-1.019248542,0.080485711,-0.167917117,F
-1.491862329,-1.019248542,0.080485711,-0.163433998,M
-1.491862329,-1.019248542,0.145915634,-0.175972723,F
-1.491862329,-1.019248542,0.145915634,-0.164204534,M
-1.491862329,-1.019248542,0.211345558,-0.172680432,F
-1.491862329,-1.019248542,0.211345558,-0.164344632,M
-1.491862329,-1.019248542,0.276775481,-0.186199839,F
-1.491862329,-1.019248542,0.276775481,-0.183748133,M
-1.491862329,-1.019248542,0.342205405,-0.19341486,F
-1.491862329,-1.019248542,0.342205405,-0.189141886,M
-1.491862329,-1.019248542,0.407635328,-0.176252918,F
-1.491862329,-1.019248542,0.407635328,-0.164274583,M
-1.491862329,-1.019248542,0.473065251,-0.167636923,F
-1.491862329,-1.019248542,0.473065251,-0.156429124,M
-1.491862329,-1.019248542,0.538495175,-0.173030676,F
-1.491862329,-1.019248542,0.538495175,-0.166936435,M
-1.491862329,-1.019248542,0.603925098,-0.179825404,F
-1.491862329,-1.019248542,0.603925098,-0.164344632,M
-1.491862329,-1.019248542,0.669355022,-0.167917117,F
-1.491862329,-1.019248542,0.669355022,-0.154257613,M
-1.491862329,-1.019248542,0.734784945,-0.191593592,F
-1.491862329,-1.019248542,0.734784945,-0.180245696,M
-1.491862329,-1.019248542,0.800214869,-0.20231105,F
-1.491862329,-1.019248542,0.800214869,-0.194815835,M
-1.491862329,-1.019248542,0.865644792,-0.18115633,F
-1.491862329,-1.019248542,0.865644792,-0.166726289,M
-1.491862329,-1.019248542,5.314879589,-0.339676634,F
-1.491862329,-1.019248542,5.314879589,-0.340166975,M
-1.491862329,-0.729353238,-1.097252912,-0.167146581,F
-1.491862329,-0.729353238,-1.097252912,-0.167847069,M
-1.491862329,-0.729353238,-1.031822988,-0.17499204,F
-1.491862329,-0.729353238,-1.031822988,-0.159371171,M
-1.491862329,-0.729353238,-0.966393065,-0.177934088,F
-1.491862329,-0.729353238,-0.966393065,-0.172120042,M
-1.491862329,-0.729353238,-0.900963142,-0.17667321,F
-1.491862329,-0.729353238,-0.900963142,-0.171909896,M
-1.491862329,-0.729353238,-0.835533218,-0.18837135,F
-1.491862329,-0.729353238,-0.835533218,-0.189071838,M
-1.491862329,-0.729353238,-0.770103295,-0.205463243,F
-1.491862329,-0.729353238,-0.770103295,-0.197897979,M
-1.491862329,-0.729353238,-0.704673371,-0.187180522,F
-1.491862329,-0.729353238,-0.704673371,-0.16833741,M
-1.491862329,-0.729353238,-0.639243448,-0.169248044,F
-1.491862329,-0.729353238,-0.639243448,-0.158180342,M
-1.491862329,-0.729353238,-0.573813524,-0.175622479,F
-1.491862329,-0.729353238,-0.573813524,-0.163153803,M
-1.491862329,-0.729353238,-0.508383601,-0.176252918,F
-1.491862329,-0.729353238,-0.508383601,-0.167566874,M
-1.491862329,-0.729353238,-0.442953677,-0.172120042,F
-1.491862329,-0.729353238,-0.442953677,-0.164274583,M
-1.491862329,-0.729353238,-0.377523754,-0.190682959,F
-1.491862329,-0.729353238,-0.377523754,-0.18003555,M
-1.491862329,-0.729353238,-0.31209383,-0.205813487,F
-1.491862329,-0.729353238,-0.31209383,-0.193134665,M
-1.491862329,-0.729353238,-0.246663907,-0.176393015,F
-1.491862329,-0.729353238,-0.246663907,-0.172400237,M
-1.491862329,-0.729353238,-0.181233983,-0.164554778,F
-1.491862329,-0.729353238,-0.181233983,-0.154047466,M
-1.491862329,-0.729353238,-0.11580406,-0.173661114,F
-1.491862329,-0.729353238,-0.11580406,-0.16553546,M
-1.491862329,-0.729353238,-0.050374136,-0.172680432,F
-1.491862329,-0.729353238,-0.050374136,-0.165255265,M
-1.491862329,-0.729353238,0.015055787,-0.172680432,F
-1.491862329,-0.729353238,0.015055787,-0.165395363,M
-1.491862329,-0.729353238,0.080485711,-0.191593592,F
-1.491862329,-0.729353238,0.080485711,-0.1772336,M
-1.491862329,-0.729353238,0.145915634,-0.210226558,F
-1.491862329,-0.729353238,0.145915634,-0.195936614,M
-1.491862329,-0.729353238,0.211345558,-0.172820529,F
-1.491862329,-0.729353238,0.211345558,-0.174431651,M
-1.491862329,-0.729353238,0.276775481,-0.166235948,F
-1.491862329,-0.729353238,0.276775481,-0.15944122,M
-1.491862329,-0.729353238,0.342205405,-0.178704624,F
-1.491862329,-0.729353238,0.342205405,-0.159511268,M
-1.491862329,-0.729353238,0.407635328,-0.180105599,F
-1.491862329,-0.729353238,0.407635328,-0.171979945,M
-1.491862329,-0.729353238,0.473065251,-0.180455842,F
-1.491862329,-0.729353238,0.473065251,-0.16553546,M
-1.491862329,-0.729353238,0.538495175,-0.189982471,F
-1.491862329,-0.729353238,0.538495175,-0.181366476,M
-1.491862329,-0.729353238,0.603925098,-0.207214462,F
-1.491862329,-0.729353238,0.603925098,-0.197617784,M
-1.491862329,-0.729353238,0.669355022,-0.18003555,F
-1.491862329,-0.729353238,0.669355022,-0.170438872,M
-1.491862329,-0.729353238,0.734784945,-0.18003555,F
-1.491862329,-0.729353238,0.734784945,-0.164064437,M
-1.491862329,-0.729353238,0.800214869,-0.187951058,F
-1.491862329,-0.729353238,0.800214869,-0.175832625,M
-1.491862329,-0.729353238,0.865644792,-0.340937511,F
-1.491862329,-0.729353238,0.865644792,-0.341077609,M
-1.491862329,-0.729353238,5.314879589,-0.340166975,F
-1.491862329,-0.729353238,5.314879589,-0.339606585,M
-1.491862329,-0.439457935,-1.097252912,-0.180876135,F
-1.491862329,-0.439457935,-1.097252912,-0.180525891,M
-1.491862329,-0.439457935,-1.031822988,-0.177023454,F
-1.491862329,-0.439457935,-1.031822988,-0.165815655,M
-1.491862329,-0.439457935,-0.966393065,-0.196637102,F
-1.491862329,-0.439457935,-0.966393065,-0.180105599,M
-1.491862329,-0.439457935,-0.900963142,-0.20455261,F
-1.491862329,-0.439457935,-0.900963142,-0.195796517,M
-1.491862329,-0.439457935,-0.835533218,-0.171909896,F
-1.491862329,-0.439457935,-0.835533218,-0.164134485,M
-1.491862329,-0.439457935,-0.770103295,-0.170088629,F
-1.491862329,-0.439457935,-0.770103295,-0.164764924,M
-1.491862329,-0.439457935,-0.704673371,-0.176463064,F
-1.491862329,-0.439457935,-0.704673371,-0.170228726,M
-1.491862329,-0.439457935,-0.639243448,-0.182066963,F
-1.491862329,-0.439457935,-0.639243448,-0.169598287,M
-1.491862329,-0.439457935,-0.573813524,-0.179615257,F
-1.491862329,-0.439457935,-0.573813524,-0.176322967,M
-1.491862329,-0.439457935,-0.508383601,-0.199298954,F
-1.491862329,-0.439457935,-0.508383601,-0.186269888,M
-1.491862329,-0.439457935,-0.442953677,-0.201890758,F
-1.491862329,-0.439457935,-0.442953677,-0.197477687,M
-1.491862329,-0.439457935,-0.377523754,-0.181856817,F
-1.491862329,-0.439457935,-0.377523754,-0.176042772,M
-1.491862329,-0.439457935,-0.31209383,-0.174641797,F
-1.491862329,-0.439457935,-0.31209383,-0.163784242,M
-1.491862329,-0.439457935,-0.246663907,-0.187740912,F
-1.491862329,-0.439457935,-0.246663907,-0.174431651,M
-1.491862329,-0.439457935,-0.181233983,-0.179194965,F
-1.491862329,-0.439457935,-0.181233983,-0.171069311,M
-1.491862329,-0.439457935,-0.11580406,-0.170999262,F
-1.491862329,-0.439457935,-0.11580406,-0.168757702,M
-1.491862329,-0.439457935,-0.050374136,-0.188651545,F
-1.491862329,-0.439457935,-0.050374136,-0.181856817,M
-1.491862329,-0.439457935,0.015055787,-0.20455261,F
-1.491862329,-0.439457935,0.015055787,-0.198108125,M
-1.491862329,-0.439457935,0.080485711,-0.179895452,F
-1.491862329,-0.439457935,0.080485711,-0.171419555,M
-1.491862329,-0.439457935,0.145915634,-0.165605509,F
-1.491862329,-0.439457935,0.145915634,-0.15439771,M
-1.491862329,-0.439457935,0.211345558,-0.177373698,F
-1.491862329,-0.439457935,0.211345558,-0.16441468,M
-1.491862329,-0.439457935,0.276775481,-0.179755355,F
-1.491862329,-0.439457935,0.276775481,-0.174641797,M
-1.491862329,-0.439457935,0.342205405,-0.182627353,F
-1.491862329,-0.439457935,0.342205405,-0.16553546,M
-1.491862329,-0.439457935,0.407635328,-0.195726468,F
-1.491862329,-0.439457935,0.407635328,-0.18837135,M
-1.491862329,-0.439457935,0.473065251,-0.200769978,F
-1.491862329,-0.439457935,0.473065251,-0.194955932,M
-1.491862329,-0.439457935,0.538495175,-0.175482382,F
-1.491862329,-0.439457935,0.538495175,-0.163714193,M
-1.491862329,-0.439457935,0.603925098,-0.157549904,F
-1.491862329,-0.439457935,0.603925098,-0.163714193,M
